part_id,revision,source_object,source_commit,file,format,units,body_count,solid_count,bbox_mm,volume_mm3,mass_g,sha256,status,release_gate
PPR-C01,final-design-fabrication-closure-v0.8,exports/print/PPR-C01/PPR-C01.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C01.step,AP214_FALLBACK_FREECAD,mm,1,1,195.000000x195.000000x8.000000,83050.862325,,74a2e39109177fffe339e75cfeb0acb338bf5c69862d77507d8b43c9465c0caa,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C02,final-design-fabrication-closure-v0.8,exports/print/PPR-C02/PPR-C02.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C02.step,AP214_FALLBACK_FREECAD,mm,1,1,190.000000x120.000000x90.000000,199061.375441,,83d8d743157027f780b811f9702b00554af1d069947f1f13e70572e9a6cca704,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C03,final-design-fabrication-closure-v0.8,exports/print/PPR-C03/PPR-C03.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C03.step,AP214_FALLBACK_FREECAD,mm,1,1,25.000000x25.000000x100.000000,18273.283189,,7984c4371dfbdbdb2080f9698e3c360317984ec3233feece93267e6accb0c46e,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C04,final-design-fabrication-closure-v0.8,exports/print/PPR-C04/PPR-C04.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C04.step,AP214_FALLBACK_FREECAD,mm,1,1,100.000000x25.000000x20.000000,32049.668222,,54219d2aaac1c66dbf91732fb0884d75f39c0c6c723fe64a2e0f1116cb24c180,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C05,final-design-fabrication-closure-v0.8,exports/print/PPR-C05/PPR-C05.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C05.step,AP214_FALLBACK_FREECAD,mm,1,1,80.000000x75.000000x100.000000,76659.061990,,99c54355a69e81c732f48f3f4e8c186ea8cb7c377783f51b3e6c593b3efef5ab,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C06,final-design-fabrication-closure-v0.8,exports/print/PPR-C06/PPR-C06.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C06.step,AP214_FALLBACK_FREECAD,mm,1,1,95.000000x70.000000x28.000000,31931.726895,,e58c929f0188306e960357ef35959ed4111f474ec5dfefce5f733d549031ad2b,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C07,final-design-fabrication-closure-v0.8,exports/print/PPR-C07/PPR-C07.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C07.step,AP214_FALLBACK_FREECAD,mm,1,1,110.000000x100.000000x65.000000,66623.307633,,accef2d347475ddbfed07e4a0737e0b19fa3140d7baeb7e805eed780e9c4ce81,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C08,final-design-fabrication-closure-v0.8,exports/print/PPR-C08/PPR-C08.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C08.step,AP214_FALLBACK_FREECAD,mm,1,1,60.000000x45.000000x70.000000,32656.231224,,b772f56687a68ff8295e7670212c707624cfcaba57ad95321bec04a46d057c71,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C09,final-design-fabrication-closure-v0.8,exports/print/PPR-C09/PPR-C09.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C09.step,AP214_FALLBACK_FREECAD,mm,1,1,70.000000x70.000000x35.000000,24324.590925,,9b9ac270f9a8624708d4fe0a16ebe784b549164bc655971926c996f7bff957ab,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C10,final-design-fabrication-closure-v0.8,exports/print/PPR-C10/PPR-C10.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C10.step,AP214_FALLBACK_FREECAD,mm,1,1,90.000000x55.000000x24.000000,71902.833206,,d34a9d10b0999906da9d3de398c3a92474d273ffa104369b78ada68f3d5aa5f9,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C11,final-design-fabrication-closure-v0.8,exports/print/PPR-C11/PPR-C11.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C11.step,AP214_FALLBACK_FREECAD,mm,1,1,180.000000x120.000000x8.000000,49616.633538,,be34037b829a00a6b7dc34d04719dbb275c796fe6bf450d6ec346ef8c44c2b2f,PASS,PHYSICAL_FIT_NOT_RUN
PPR-C12,final-design-fabrication-closure-v0.8,exports/print/PPR-C12/PPR-C12.step,5008ee78988e17bcd38904df27b48af28fd8c594,PPR-C12.step,AP214_FALLBACK_FREECAD,mm,1,1,38.000000x26.000000x8.000000,5009.085498,,6b61a116d26af9cdcb1384d57a1de1208f8300f367c78a4828d080e64765fc9b,PASS,PHYSICAL_FIT_NOT_RUN
