part_id,revision,quantity,material,process,critical_tolerance,datum_scheme,inspection,status,source_step,source_dxf,step_file,dxf_file,drawing_pdf,solid_count,bbox_mm,volume_mm3,sha256_step,sha256_dxf,sha256_pdf,release_gate
CUT-03,final-design-fabrication-closure-v0.8,2,12 mm S275JR steel,laser + bearing-seat finish,"two SKF 61905-2RS1 seats diameter 42 H7; center distance 48.00 +/-0.03; match-machine both plates; seat-axis parallelism 0.05/140; four frame holes diameter 6.6; identify front fixed and rear floating sides; after CUT-10 retention and metal shimming, each complete shaft axial float shall be0.05-0.20 over one full hand rotation",A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/cnc/CUT-03/CUT-03.step,exports/cnc/CUT-03/CUT-03.dxf,CUT-03.step,CUT-03.dxf,CUT-03.pdf,1,150.000000x125.000000x12.000000,188962.099520,d625b0e138c28c11b19d31e9402fd3fd12af2871ea3f81fb4d4ea5981ce09af6,6aa834d96c61438a3fa9988dbced0731e57b00adbb115de2f45d7e7853e12eb7,0ac459d650e7cbeb58c74a57c0bc1aa85139f0ab41946f7bc583ab69c2c4cdd9,GATE1_QTY_2_ALLOWED_USER_APPROVAL_REQUIRED
CUT-08,final-design-fabrication-closure-v0.8,2,2 mm steel,laser cut + deburr,figure-eight OD lobes 60; two relief bores diameter 34; center distance 48.00 +/-0.05; six M4 clearance holes diameter 4.5 at drawing coordinates; CUT-03 matching holes are included and may be match-reamed after bearing-seat finish,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/cnc/CUT-08/CUT-08.step,exports/cnc/CUT-08/CUT-08.dxf,CUT-08.step,CUT-08.dxf,CUT-08.pdf,1,108.000000x60.000000x2.000000,6898.596700,2e9ac417a55edaebca85b5dfe8755b6ff3f72e6dd472feefaeaff5e60ac0b813,a1e89d4b36097573293d491fa9a8b8bfe8bc48110b424189958c96371de8a031,6a06c2c141e9b36b19e7877c972a813726764e6ffa51152670599aed049d18f2,GATE1_QTY_2_ALLOWED_USER_APPROVAL_REQUIRED
CUT-09,final-design-fabrication-closure-v0.8,4,S275JR steel,"turn, drill/ream and match-face as a set",OD10.00 +/-0.05; ID6.60 +0.10/0; length128.00 +/-0.03; four-piece matched length spread <=0.03; face parallelism <=0.03; deburr C0.2 max,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/cnc/CUT-09/CUT-09.step,exports/cnc/CUT-09/CUT-09.dxf,CUT-09.step,CUT-09.dxf,CUT-09.pdf,1,10.000000x10.000000x128.000000,5673.967660,5b30d6749335a74589ec62b4a4d748cc73f1a6f69b708b2e4ad2bf28fdffe621,93961dcd7cb56e33bca8b505c967c870c9e82efb4c41a6ac6bdf0f1cfc865e91,f2115c71aed8b15d02e7e1f6a4281be8bfbe28ffc561ffe81006bc5fb69ffb85,GATE1_QTY_4_ALLOWED_USER_APPROVAL_REQUIRED
CUT-10,final-design-fabrication-closure-v0.8,4,S45C normalized steel,turn and match-face,OD42 g6; ID25.50 +0.10/0; width3.00 +/-0.02; faces parallel0.01; bears on outer ring only; engrave front-fixed/rear-floating and shaft ID; set rear outer-ring endplay using0.05/0.10/0.20 ground metal shims; complete-shaft axial float acceptance0.05-0.20 mm,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/cnc/CUT-10/CUT-10.step,exports/cnc/CUT-10/CUT-10.dxf,CUT-10.step,CUT-10.dxf,CUT-10.pdf,1,42.000000x42.000000x3.000000,2624.211613,44adc0765fd05a4864c562096c3fcc40d3953bb0e133be8b0d1cb4d22911c78d,abab3a6c6438408445e11ac80d8f179b2c25ef5d4ed0361d27b909e6b9e7614d,b21f34a3096e75ecf8ebdf25bea2ddad972bf0926caed5c1cac29840553d54d6,GATE1_QTY_4_ALLOWED_USER_APPROVAL_REQUIRED
EX-THR-01,final-design-fabrication-closure-v0.8,1,12 mm S45C normalized steel,laser rough + bore/seat finish,12 x95 x105; passage Ø17.2; 51102 pocket Ø28.30 +0.05/0 x9.10 +0.05/0 from marked front face; 4xØ6.6; pocket shoulder square0.05 to bore; NSK general-purpose housing radial clearance >0.25; metal-to-profile load path,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/fabrication/parts/EX-THR-01/EX-THR-01.step,exports/fabrication/parts/EX-THR-01/EX-THR-01.dxf,EX-THR-01.step,EX-THR-01.dxf,EX-THR-01.pdf,1,12.000000x95.000000x105.000000,111640.112493,04b245d62b9e8b60694cc670c920c78b36696e2580899916a64b1d44e9b31fab,fc2b09044e087477b16babd34ba3b5102fd13f792ecc27ba6d74d83084881549,cb94031091070b561c801fa03df6d4682d387d3c46f8dd60c250f4c78a06a5e4,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-EB-01,final-design-fabrication-closure-v0.8,2,S45C normalized steel,turn eccentric bore + mill flange slots,OD16 g6 x10; flange Ø24 x3; bore Ø8.20 +0.05/0 offset1.00 ±0.02; 2x3.4x10 flange slots at radius9; install paired bushes at equal index within0.5°; set full-rotation unloaded roller gap1.60-1.90 then clamp 2xM3 per bush,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/fabrication/parts/FM-EB-01/FM-EB-01.step,exports/fabrication/parts/FM-EB-01/FM-EB-01.dxf,FM-EB-01.step,FM-EB-01.dxf,FM-EB-01.pdf,1,24.000000x13.000000x24.000000,2492.139865,5c5fb719aa8f4fe1e8f4d49df10fa0890b2ba33370236a702821022ebf688e30,aa34dbdbc3a37d1652be25de09fd1abaa2c526f0caa9466e7fce5b412729b94d,5e56cce6b8b301bddbff3aa33cccf241b024da2ced820028485c49e47ea5e6f8,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-GC-01,final-design-fabrication-closure-v0.8,2,1 mm 304 stainless sheet,laser cut + deburr,Ø32 x1; bore Ø15.00 +0.10/0 gives outer-ring radial overlap0.446-0.500; 3xØ3.4 PCD26; flatness0.05; bearing face burr-free; install flush in FM-GR-01 recess,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/fabrication/parts/FM-GC-01/FM-GC-01.step,exports/fabrication/parts/FM-GC-01/FM-GC-01.dxf,FM-GC-01.step,FM-GC-01.dxf,FM-GC-01.pdf,1,32.000000x32.000000x1.000000,600.295524,ea42f40baa479b1a979f45ebc65e3f80de3d5f2037ff0a6832396faf8e59ee5b,79be11f102503e86e1dfe46bde6464ee6b21bce4d6562d63899fbc67fd7b5931,11a5bf65c09238aa5ed88119efd44d7e95600ae1af7df932ebc5cce63215458e,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
FM-PL-01,final-design-fabrication-closure-v0.8,2,10 mm 6061-T6,waterjet + ream/tap,100 x10 x40; fixed axle Ø8.2 at X29.10/Z20; adjustable bush seat Ø16 H7 at X69.90/Z20; 2xM3-6H blind7 at X69.90/Z11/29 from marked outer face; installed axes X29.10/X70.90 give gap1.80 and nip X50.00 local; 4xØ4.5 guard mounts; matched pair axis position ±0.05,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/fabrication/parts/FM-PL-01/FM-PL-01.step,exports/fabrication/parts/FM-PL-01/FM-PL-01.dxf,FM-PL-01.step,FM-PL-01.dxf,FM-PL-01.pdf,1,100.000000x10.000000x40.000000,36750.396767,ab0b09cae7943e39ffd52ea36fe79539384b764446b339e92f1aec3f31d90950,6ca3678aa1e35384ace3209a9021a8cd172e09600ba6f43fb5be2ed92475500d,d24bd81610ad42f67f315e2084dc822483c400033346b116601bd8bb3b8c4050,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-BP-01,final-design-fabrication-closure-v0.8,2,10 mm 6061-T6,waterjet rough + pocket bore finish,105 x10 x60; bearing centre X30/Z30; Ø28.000–28.021 H7 x8.05–8.10 pocket from marked inner face; Ø26 through relief leaves 1.95–2.00 shoulder; 4xØ5.5 retainer + 2xØ5.5 profile tab; matched axis position ±0.05,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/fabrication/parts/SP-BP-01/SP-BP-01.step,exports/fabrication/parts/SP-BP-01/SP-BP-01.dxf,SP-BP-01.step,SP-BP-01.dxf,SP-BP-01.pdf,1,105.000000x10.000000x60.000000,55578.844378,8cad7794a751c947130b1f734a4cf05e6beb6b37b25d42699f6cae9752074c1a,fe911b4f4c089bb7059c36e24e9586848e022b41fd368d7a67e08771d6344250,dc2e9fcc53375b9b648431e7d06c60a6398cc98fd9d1f5b222c697e4605b12db,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
SP-BR-01,final-design-fabrication-closure-v0.8,2,2 mm 304 stainless sheet,laser cut + deburr,54 x2 x54; Ø26.0 +0.10/0 relief gives 0.95–1.00 radial outer-ring overlap; 4xØ5.5 at 44 mm square; flatness0.10; burr away from bearing; use 4x M5 with SP-BP-01,A=frame mounting face; B=primary bearing axis; C=secondary bearing/fastener axis; verify datum marking on supplier inspection report,CMM/caliper against STEP and drawing; deburr and visual crack/warp inspection; bore gauge; matched-pair centre distance and axis parallelism,PASS,exports/fabrication/parts/SP-BR-01/SP-BR-01.step,exports/fabrication/parts/SP-BR-01/SP-BR-01.dxf,SP-BR-01.step,SP-BR-01.dxf,SP-BR-01.pdf,1,54.000000x2.000000x54.000000,4580.075328,3fc004d8cf4f12e444cae69f43411c740d51cfc1d71a2c26ab00f5c72ed07c05,a3691492cc44ac5bed28d509ae9d688676c115fb7c240214199ab0776d398bd4,f1e85ea189f6b91422694259f2ae229653fc33cac212f20ffbe8329899372094,DESIGN_RELEASED_PROCUREMENT_USER_APPROVAL_REQUIRED
